Date/Time,Wind Direction (°),Wind Speed (m/s)
1 1 2018 0:0,336.296,16.418
1 1 2018 0:10,337.51,16.653
1 1 2018 0:20,337.927,16.919
1 1 2018 0:30,338.174,16.989
1 1 2018 0:40,338.433,17.096
1 1 2018 0:50,338.389,17.013
1 1 2018 1:0,338.037,16.598
1 1 2018 1:10,337.927,16.318
1 1 2018 1:20,338.246,15.933
1 1 2018 1:30,338.521,15.491
1 1 2018 1:40,338.658,15.292
1 1 2018 1:50,338.872,15.427
1 1 2018 2:0,339.262,15.79
1 1 2018 2:10,339.158,15.857
1 1 2018 2:20,338.812,15.604
1 1 2018 2:30,338.663,15.405
1 1 2018 2:40,338.608,15.185
1 1 2018 2:50,338.521,15.06
1 1 2018 3:0,338.466,15.033
1 1 2018 3:10,338.729,14.956
1 1 2018 3:20,338.372,14.761
1 1 2018 3:30,337.856,14.572
1 1 2018 3:40,337.642,14.447
1 1 2018 3:50,337.658,14.163
1 1 2018 4:0,337.537,13.739
1 1 2018 4:10,337.405,13.168
1 1 2018 4:20,337.01,12.604
1 1 2018 4:30,336.708,12.268
1 1 2018 4:40,335.988,12.106
1 1 2018 4:50,335.192,12.103
1 1 2018 5:0,334.807,12.259
1 1 2018 5:10,335.296,12.695
1 1 2018 5:20,336.345,13.306
1 1 2018 5:30,336.922,13.592
1 1 2018 5:40,337.51,13.678
1 1 2018 5:50,337.949,13.65
1 1 2018 6:0,338.004,13.379
1 1 2018 6:10,337.367,12.918
1 1 2018 6:20,337.015,12.655
1 1 2018 6:30,336.482,12.301
1 1 2018 6:40,335.587,11.758
1 1 2018 6:50,335.862,11.615
1 1 2018 7:0,335.373,11.413
1 1 2018 7:10,335.131,11.447
1 1 2018 7:20,335.735,11.569
1 1 2018 7:30,336.026,11.416
1 1 2018 7:40,335.818,11.252
1 1 2018 7:50,336.082,11.209
1 1 2018 8:0,335.01,10.946
1 1 2018 8:10,334.489,10.773
1 1 2018 8:20,335.417,10.821
1 1 2018 8:30,336.56,10.794
1 1 2018 8:40,339.564,10.089
1 1 2018 8:50,343.201,9.701
1 1 2018 9:0,346.288,9.238
1 1 2018 9:10,346.612,8.777
1 1 2018 9:20,346.08,8.154
1 1 2018 9:30,346.052,7.559
1 1 2018 9:40,345.997,7.3
1 1 2018 9:50,345.739,7.333
1 1 2018 10:0,346.052,7.376
1 1 2018 10:10,345.926,7.422
1 1 2018 10:20,345.975,7.501
1 1 2018 10:30,345.096,7.376
1 1 2018 10:40,344.195,7.275
1 1 2018 10:50,343.097,7.132
1 1 2018 11:0,342.663,7.126
1 1 2018 11:10,341.624,7.15
1 1 2018 11:20,340.817,7.132
1 1 2018 11:30,340.207,7.144
1 1 2018 11:40,340.223,7.168
1 1 2018 11:50,339.57,7.101
1 1 2018 12:0,338.702,7.046
1 1 2018 12:10,337.405,7.016
1 1 2018 12:20,336.153,6.909
1 1 2018 12:30,335.021,6.753
1 1 2018 12:40,334.087,6.546
1 1 2018 12:50,332.368,6.341
1 1 2018 13:0,330.813,6.192
1 1 2018 13:10,329.61,6.167
1 1 2018 13:20,327.638,6.07
1 1 2018 13:30,324.973,6.012
1 1 2018 13:40,322.271,5.938
1 1 2018 13:50,319.661,5.893
1 1 2018 14:0,317.903,5.966
1 1 2018 14:10,316.673,5.993
1 1 2018 14:20,315.42,6.015
1 1 2018 14:30,314.767,6.03
1 1 2018 14:40,315.387,6.051
1 1 2018 14:50,315.948,6.079
1 1 2018 15:0,316.81,6.176
1 1 2018 15:10,318.162,6.326
1 1 2018 15:20,319.502,6.396
1 1 2018 15:30,320.266,6.427
1 1 2018 15:40,321.1,6.442
1 1 2018 15:50,322.199,6.387
1 1 2018 16:0,323.205,6.326
1 1 2018 16:10,323.705,6.07
1 1 2018 16:20,323.771,5.908
1 1 2018 16:30,323.012,5.835
1 1 2018 16:40,321.733,5.92
1 1 2018 16:50,321.963,6.121
1 1 2018 17:0,323.721,6.515
1 1 2018 17:10,324.458,6.845
1 1 2018 17:20,324.337,6.964
1 1 2018 17:30,325.309,7.211
1 1 2018 17:40,324.914,7.531
1 1 2018 17:50,323.48,7.66
1 1 2018 18:0,323.672,7.882
1 1 2018 18:10,323.502,8.242
1 1 2018 18:20,321.986,8.645
1 1 2018 18:30,320.711,8.954
1 1 2018 18:40,321.54,9.323
1 1 2018 18:50,323.458,9.741
1 1 2018 19:0,324.825,10.278
1 1 2018 19:10,324.738,10.977
1 1 2018 19:20,328.253,11.59
1 1 2018 19:30,330.918,11.325
1 1 2018 19:40,330.715,11.712
1 1 2018 19:50,330.654,11.969
